Date,Boats,Anglers,Bluefin,Yellowfin,Yellowtail,Barracuda,Calico
"January 01, 2019",1,29,0,0,0,0,1
"January 02, 2019",1,17,0,0,0,0,0
"January 03, 2019",1,13,0,0,0,0,7
"January 04, 2019",1,35,0,0,0,0,2
"January 05, 2019",1,28,0,0,0,0,0
"January 06, 2019",1,23,0,0,67,0,0
"January 07, 2019",1,12,0,0,0,0,0
"January 10, 2019",1,8,0,0,0,0,6
"January 11, 2019",1,12,0,0,0,0,5
"January 12, 2019",1,9,0,0,0,0,11
"January 13, 2019",2,36,0,0,41,0,3
"January 18, 2019",2,16,0,0,0,0,6
"January 19, 2019",1,16,0,0,0,0,2
"January 20, 2019",3,58,0,0,18,0,2
"January 21, 2019",1,6,0,0,0,0,0
"January 23, 2019",1,10,0,0,0,0,2
"January 24, 2019",1,9,0,0,0,0,0
"January 25, 2019",1,9,0,0,0,0,1
"January 26, 2019",1,20,0,0,0,0,1
"January 27, 2019",3,45,0,0,40,0,0
"January 28, 2019",1,4,0,0,0,0,0
"January 29, 2019",1,15,0,0,0,0,2
"February 01, 2019",1,24,0,0,0,0,7
"February 07, 2019",1,12,0,0,0,0,4
"February 08, 2019",2,21,0,0,0,0,13
"February 09, 2019",1,28,0,0,0,0,22
"February 10, 2019",2,29,0,0,0,0,6
"February 12, 2019",1,12,0,0,0,0,3
"February 15, 2019",1,15,0,0,0,0,0
"February 16, 2019",1,40,0,0,0,0,0
"February 17, 2019",1,10,0,0,0,0,0
"February 18, 2019",1,27,0,0,0,0,0
"February 23, 2019",2,44,0,0,0,0,3
"February 24, 2019",2,41,0,0,21,0,2
"March 01, 2019",2,35,0,0,0,0,0
"March 02, 2019",1,20,0,0,0,0,0
"March 03, 2019",1,25,0,0,0,0,0
"March 05, 2019",1,2,0,0,0,0,0
"March 08, 2019",1,14,0,0,0,0,0
"March 09, 2019",1,12,0,0,0,0,0
"March 10, 2019",3,29,0,0,0,0,0
"March 12, 2019",2,14,0,0,0,0,1
"March 14, 2019",1,13,0,0,0,0,1
"March 15, 2019",1,18,0,0,0,0,0
"March 16, 2019",1,48,0,0,0,0,0
"March 17, 2019",2,41,0,0,16,0,0
"March 18, 2019",1,15,0,0,0,0,0
"March 19, 2019",1,17,0,0,0,0,0
"March 20, 2019",1,13,0,0,0,0,2
"March 21, 2019",1,12,0,0,0,0,0
"March 22, 2019",1,17,0,0,0,0,3
